"text","category"
"I need to pack for Rishikesh this afternoon.","Travel"
"The train to Shimla was surprisingly comfortable.","Travel"
"mere dost ne bola specialist ko dikhao acidity ke liye.","Health"
"Shor ki wajah se the semester project pe concentrate nahi kar paaya.","Education"
"I've been dealing with body aches today.","Health"
"I'm not sure whether to take a road trip or drive to Goa.","Travel"
"kal dinner mein pav bhaji order kiya.","Food"
"The train to Darjeeling was surprisingly comfortable.","Travel"
"The road trip to Udaipur was surprisingly comfortable, so i'm not sure whether to take a local train or drive to Kolkata.","Travel"
"I can't figure out why my smartwatch app is so slow for the past three days.","Technology"
"raat se thoda time a documentary I watched sambhalne mein laga","General/Other"
"a study lamp ki delivery late ho rahi hai is mahine aur a formal shirt ki delivery late ho rahi hai subah se.","Shopping"
"Our road trip to Dubai got delayed this morning.","Travel"
"I finally cleared my mutual fund investment these days.","Finance"
"My order got delayed.","Shopping"
"I spent some time dealing with the community meeting since last night.","General/Other"
"mere manager ne bola specialist ko dikhao badan dard ke liye.","Health"
"mere cousin ne bola my bank statement review karo par boss ne bola my monthly budget review karo.","Finance"
"i tried making tacos at home since last week","Food"
"I feel like a running nose is getting worse since Monday, so my friend suggested I see a specialist because of a migraine.","Health"
"my browser suddenly stopped working these days.","Technology"
"kal work from home karke budget proposal complete karunga par hamari team marketing plan pe atki hui hai do din se.","Work/Office"
"We're staying at a small hotel near Delhi even though our itinerary for Kerala includes a lot of sightseeing.","Travel"
"I need to pack for Kolkata these days but i finally booked a train ticket to Kolkata.","Travel"
"pichle teen din se the group presentation submit karna hai.","Education"
"My monthly budget got auto-debited by Friday.","Finance"
"My this month's rent got auto-debited today","Finance"
"aaj shaam ko online a laptop bag order kiya","Shopping"
"parso online a backpack order kiya.","Shopping"
"abhi online a backpack order kiya.","Shopping"
"mere bhai ne the weather ka zikr kiya baat cheet mein.","General/Other"
"I need to pay the tax filing this afternoon, because i finally cleared the loan application this weekend.","Finance"
"Aakhirkar the personal loan EMI clear kar diya aaj.","Finance"
"I have to submit the chemistry lab report today so i'm nervous about the group presentation scheduled since last night.","Education"
"I have to submit the online course next week.","Education"
"Friday tak ghar pe a vegetable stir fry banane ki koshish ki.","Food"
"It's hard to explain but I feel a little low after hearing the news while there's a strange feeling of being a little low after getting that message.","Mood/Emotion"
"Ghar pe sab the family gathering this weekend ke baare mein baat kar rahe the abhi.","General/Other"
"It's been a quiet day, mostly thinking about an old photo album since i spent some time dealing with the community meeting just now.","General/Other"
"Everyone at home was discussing the garden we're planting for the past three days, while everyone at home was discussing an old photo album for a couple of hours.","General/Other"
"do din se dost aa rahe hain aur momos banane ka plan hai.","Food"
"kal raat se online a kitchen mixer order kiya.","Shopping"
"Aakhirkar the tax filing clear kar diya pichle teen din se.","Finance"
"I'll be working from home this month to complete the budget proposal.","Work/Office"
"abhi the entrance exam submit karna hai.","Education"
"I took a half day these days to catch up on the client presentation.","Work/Office"
"papa ne ek jagah bataayi jahan ka rajma chawal zabardast hai.","Food"
"dopahar se leadership ke saamne client presentation present karna hai","Work/Office"
"Our team is stuck on the hiring paperwork by Friday.","Work/Office"
"subah se a fixed deposit pay karna hai kyunki kal raat se my salary pay karna hai.","Finance"
"kal online sunglasses order kiya.","Shopping"
