"text","category","language"
"I need approval before I can close this ticket.","Work/Office","English"
"Isko behtar samajhne ke liye kahan dekhna chahiye?","General","Hinglish"
"The scenic overlook on the drive was worth the detour.","Travel","English"
"What are the eligibility criteria for this scheme?","General","English"
"Manager ne presentation ko das slides tak short karne ko bola.","Work/Office","Hinglish"
"Kisi se baat karke bahut halka feel ho raha hai ab.","Mood","Hinglish"
"Aaj subah bina wajah ache mood mein uthaa.","Mood","Hinglish"
"I finally booked tickets for the trip to the hills.","Travel","English"
"Meri complaint ticket haftonse open hai, koi update nahi.","Complaint","Hinglish"
"The package arrived completely damaged and unusable.","Complaint","English"
"Woh kaam finally khatam karke ek sukoon bhara sa feel aa raha hai.","Mood","Hinglish"
"I got pulled into an urgent bug fix this morning.","Work/Office","English"
"The road was closed for repairs so we took a detour.","Travel","English"
"I need to reserve a table at that place near the hotel.","Travel","English"
"My chest tightens a little when the pollen count is high.","Health","English"
"I need sign-off from legal before sending this out.","Work/Office","English"
"Gadget kharidne ke ek hafte baad hi charge hona band ho gaya.","Complaint","Hinglish"
"Our hotel had an amazing view of the harbor.","Travel","English"
"The performance review cycle starts next Monday.","Work/Office","English"
"Isko activate karwane ka typical process kya hota hai?","General","Hinglish"
"I've been stuck debugging this issue since morning.","Work/Office","English"
"Mera account lock ho gaya hai aur support reply hi nahi kar raha.","Complaint","Hinglish"
"Time pe pahuchne ke baad bhi hotel room ready nahi tha.","Travel","Hinglish"
"Everything feels pointless right now, I don't know why.","Mood","English"
"Teesre din se internet connection bilkul unstable chal raha hai.","Complaint","Hinglish"
"Yeh section sahi tarike se bharne mein guide kar sakte ho?","General","Hinglish"
"My back seizes up whenever I bend down.","Health","English"
"I pulled a muscle in my shoulder lifting boxes.","Health","English"
"Hamari flight schedule se ek ghanta pehle land hui, acha laga.","Travel","Hinglish"
"There's a nervous flutter in my stomach right now.","Mood","English"
"I have a one-on-one with my manager scheduled tomorrow.","Work/Office","English"
"Team lead ne naya module mujhe assign kiya hai.","Work/Office","Hinglish"
"I've been waiting three weeks for a refund that still hasn't come.","Complaint","English"
"I keep getting an 'invalid request' error on every checkout attempt.","Complaint","English"
"Poore hafte baad bhi mere email ka koi reply nahi aaya.","Complaint","Hinglish"
"What information do I need to have ready beforehand?","General","English"
"Kal se sungh nahi paa raha hoon kuch bhi.","Health","Hinglish"
"Website ke error ki wajah se card se kai baar paisa kat gaya.","Complaint","Hinglish"
"We missed the last local train and had to take a cab instead.","Travel","English"
"I feel like everything is closing in on me right now.","Mood","English"
"I've had puffy, swollen eyes since I woke up.","Health","English"
"Iske liye apply karne ke liye kaunse documents chahiye?","General","Hinglish"
"Hamare itinerary mein sirf paanch dino mein teen shehar hain.","Travel","Hinglish"
"Aaj dopahar ek mandatory fire drill rakha gaya hai.","Work/Office","Hinglish"
"I feel like I could take on the whole world right now.","Mood","English"
"Pahado ki scenic drive expected se zyada lambi ho gayi.","Travel","Hinglish"
"I feel small and unimportant most days now.","Mood","English"
"Pait mein ajeeb sa gudgudi wala dard ho raha hai.","Health","Hinglish"
"There's a sharp pain running down my lower back.","Health","English"
"I have to review the pull requests before the release.","Work/Office","English"
"Can someone explain how the points system works here?","General","English"
"Schedule badalne ke baad humein tickets rebook karni padi.","Travel","Hinglish"
"What's the process to switch to a different plan?","General","English"
"Bhaari baarish ki wajah se road trip beech mein hi rok di.","Travel","Hinglish"
"What does this particular status actually mean?","General","English"
"I've been feeling really content with how life is going.","Mood","English"
"Is task ka general workflow explain kar sakte ho?","General","Hinglish"
"Can you tell me how this whole system is structured?","General","English"
"My account got locked and support isn't responding.","Complaint","English"
"Storm warning ki wajah se travel plans badalne pade.","Travel","Hinglish"
"Pindli mein baar baar cramp aa raha hai.","Health","Hinglish"
"I've been asked to shadow a senior colleague this week.","Work/Office","English"
"Can you explain what happens after submission?","General","English"
"I've got a tight, uncomfortable pressure in my chest.","Health","English"
"Woke up shivering with a fever last night.","Health","English"
"Jaane wale employee ke saath handover coordinate karna hai.","Work/Office","Hinglish"
"I can't keep any food down since this morning.","Health","English"
"Khaansi peeche padhi hi nahi hai teen din se.","Health","Hinglish"
"Baar baar side mein teekhi si cheez chubhti hai.","Health","Hinglish"
"I keep getting the same error every time I try to log in.","Complaint","English"
"I've been snapping at small things that don't usually bother me.","Mood","English"
"Order ek mahine late aaya, koi explanation bhi nahi diya.","Complaint","Hinglish"
"My sinuses are completely blocked, can't breathe through my nose.","Health","English"
"Our itinerary includes three cities in just five days.","Travel","English"
"The product came with missing parts and no instructions.","Complaint","English"
"Our flight landed an hour ahead of schedule, which was nice.","Travel","English"
"Transaction complete hone se pehle hi app ne paisa kaat liya.","Complaint","Hinglish"
"Size clearly bataya tha phir bhi unhone galat size bhej diya.","Complaint","Hinglish"
"I've been battling constant fatigue for over a week.","Health","English"
"Our flight got upgraded at the last minute, quite a surprise.","Travel","English"
"I'm in such high spirits after that phone call.","Mood","English"
"Aankhon mein pani aa raha hai aur khujli bhi ho rahi hai.","Health","Hinglish"
"There's a burning sensation in my chest after meals.","Health","English"
"Subah se ek bhaari udaasi chhayi hui hai.","Mood","Hinglish"
"Yeh poori cheez kaise kaam karti hai, break down kar sakte ho?","General","Hinglish"
"I've had a stiff neck since sleeping in that position.","Health","English"
"The cold I caught last week just won't fully clear.","Health","English"
"Das minute baad customer service line automatically disconnect ho jaati hai.","Complaint","Hinglish"
"I've been quietly frustrated with myself all day.","Mood","English"
"Aaj highway ke toll booth pe bahut zyada jam laga.","Travel","Hinglish"
"Agle hafte ke liye leave request daalni hai.","Work/Office","Hinglish"
"The order confirmation never arrived even though payment went through.","Complaint","English"
"Bahut dino baad khushi ki halki si chingari feel hui.","Mood","Hinglish"
"Achanak raat ko paseena chhut jaata hai neend mein.","Health","Hinglish"
"Kal se mera gala bahut kharab hai, nigalna mushkil hai.","Health","Hinglish"
"I stayed late last night finishing the client deliverable.","Work/Office","English"
"I've been feeling so isolated lately, even in a crowd.","Mood","English"
"Feeling utterly drained even after a full night's rest.","Health","English"
"I've been unusually cheerful ever since the good news.","Mood","English"
"Gale mein khujli si hoti hai jo khaansi ban jaati hai.","Health","Hinglish"
"Seedhi chadhte waqt ghutno se ab awaaz aati hai.","Health","Hinglish"
"Is scheme ke liye eligibility criteria kya hai?","General","Hinglish"
"Checkout ke waqt actual price ke baare mein galat bataya gaya.","Complaint","Hinglish"
"Is there a limit on how many times I can do this?","General","English"
"Ek din bachane ke liye overnight train pakad rahe hain.","Travel","Hinglish"
"The team lead assigned the new module to me.","Work/Office","English"
"Ek extra convenience fee jod diya jo pehle dikhaya hi nahi tha.","Complaint","Hinglish"
"My manager approved my request to work remotely on Friday.","Work/Office","English"
"Ek hidden fee laga diya gaya jo kahin bataya hi nahi gaya tha.","Complaint","Hinglish"
"My manager is out this week so approvals are delayed.","Work/Office","English"
"Energy level bilkul neeche gaya hua hai aajkal.","Health","Hinglish"
"Mahina khatam hone se pehle expense reports submit karni hain.","Work/Office","Hinglish"
"Our flight got delayed by three hours at the last minute.","Travel","English"
"Presentation se thik pehle laptop crash ho gaya.","Work/Office","Hinglish"
"Takhne mein sujan aa gayi hai girne ke baad se.","Health","Hinglish"
"I feel like I'm on top of the world right now.","Mood","English"
"The highway toll booths caused a massive backup today.","Travel","English"
"The tracking number they gave me doesn't even work.","Complaint","English"
"Yeh kaise function karta hai, iske baare mein aur kahan jaanu?","General","Hinglish"
"Staff bilkul interested hi nahi laga meri madad karne mein.","Complaint","Hinglish"
"Extra baggage ke liye airline ne alag se charge liya.","Travel","Hinglish"
"Is release ke liye teen alag teams ke saath coordinate kar raha hoon.","Work/Office","Hinglish"
"Subah uthte hi lag raha tha jaise poora badan pit gaya ho.","Health","Hinglish"
"There's a mandatory fire drill scheduled for this afternoon.","Work/Office","English"
"The technician left without actually fixing the issue.","Complaint","English"
"Seller mere messages ka koi reply hi nahi de raha.","Complaint","Hinglish"
"Aaj pichle quarter ke numbers ka review ho raha hai.","Work/Office","Hinglish"
"Can you explain the logic behind how this works?","General","English"
"Emotionally bilkul khaali sa feel ho raha hoon abhi.","Mood","Hinglish"
"Mujhe khaana khaate hi ulti jaisa lag raha hai.","Health","Hinglish"
"Kal ke road trip ke liye bag pack kar raha hoon.","Travel","Hinglish"
"I've barely slept the past three nights, tossing and turning.","Health","English"
"The packaging was so poor that half the contents spilled out.","Complaint","English"
"I feel emotionally wrung out after that conversation.","Mood","English"
"The airport was unusually quiet this early in the morning.","Travel","English"
"I've been feeling detached from things I used to enjoy.","Mood","English"
"How do I know which option is right for me?","General","English"
"Rental car ka tyre shehar ke bahar hi punchure ho gaya.","Travel","Hinglish"
"Skin chipchipi lag rahi hai aur paseena bina wajah ke aa raha hai.","Health","Hinglish"
"Bina koi notice diye meri booking cancel kar di unhone.","Complaint","Hinglish"
"The flight got diverted due to bad weather at the destination.","Travel","English"
"Result sochte hi pait mein halki si ghabrahat hoti hai.","Mood","Hinglish"
"Mere liye kaunsa option sahi rahega, kaise figure out karu?","General","Hinglish"
"My manager scheduled an impromptu sync for this afternoon.","Work/Office","English"
"Sahi department se contact kaise karu?","General","Hinglish"
"Shaam ki walk mein aajkal saans phool jaati hai.","Health","Hinglish"
"Payment karte waqt website hi hang ho gayi achanak.","Complaint","Hinglish"
"I've had bouts of vertigo when I turn my head fast.","Health","English"
"Valley wali train journey bilkul lajawaab thi.","Travel","Hinglish"
"Express delivery ka paisa diya phir bhi das din lag gaye.","Complaint","Hinglish"
"I'm packing my bags for the road trip tomorrow.","Travel","English"
"Platform pe apni preferred language kaise switch karu?","General","Hinglish"
"Jaise hi mausam badla, joint pain shuru ho gaya.","Health","Hinglish"
"Team abhi naye project ke roadmap pe discuss kar rahi hai.","Work/Office","Hinglish"
"There's a spark of joy I haven't felt in a long time.","Mood","English"
